"","product_id","year","month","total_sales"
"551","VS208.020                ",2018,1,378
"552","VS207.016                ",2018,1,682
"553","VS207.010                ",2018,1,341
"554","VR2294                   ",2018,1,437.339996337891
"555","VP4400.R3                ",2018,1,1020
"556","VP4041.11                ",2018,1,930
"557","VP4031.10                ",2018,1,1350
"558","VP4021.06                ",2018,1,998
"559","VCPV269H                 ",2018,1,1416
"560","VCP635H                  ",2018,1,379.350006103516
"561","VCP461H                  ",2018,1,280.889991760254
"562","VCP345H                  ",2018,1,1668.83996582031
"563","VCP317H                  ",2018,1,102.910003662109
"564","VCP310H                  ",2018,1,175.149993896484
"565","V999H                    ",2018,1,343.520000457764
"566","V975G                    ",2018,1,1060.91999816895
"567","V944H                    ",2018,1,826.109985351562
"568","V6840H                   ",2018,1,414.900005340576
"569","V615H                    ",2018,1,472.18000793457
"570","V493H                    ",2018,1,420.979995727539
"571","V4420H                   ",2018,1,1121.5
"572","V4270H                   ",2018,1,2606.27002716064
"573","V422H                    ",2018,1,3158.00006103516
"574","V4170H                   ",2018,1,437.959999084473
"575","V38G                     ",2018,1,1823.5400390625
"576","V370H                    ",2018,1,6291.51007080078
"577","V339H                    ",2018,1,2502.27996826172
"578","V3170H                   ",2018,1,2550.25
"579","V293H                    ",2018,1,2988.00006103516
"580","V2140H                   ",2018,1,3430.42002868652
"581","V206G                    ",2018,1,316.660003662109
"582","V1428E                   ",2018,1,258.01000213623
"583","UPPM1                    ",2018,1,137.940002441406
"584","UPLUG551                 ",2018,1,135
"585","UMS1                     ",2018,1,359.870002746582
"586","UMN3                     ",2018,1,5154.80004882812
"587","UHSL1                    ",2018,1,475.199981689453
"588","TT012                    ",2018,1,507.020004272461
"589","TRT55                    ",2018,1,10832.1199951172
"590","TRH30                    ",2018,1,887.330017089844
"591","SXPP1B416                ",2018,1,288
"592","STRAP25                  ",2018,1,35320
"593","SRC14071720              ",2018,1,515
"594","SRC14061520              ",2018,1,515
"595","SAT001                   ",2018,1,700
"596","RSZ6504                  ",2018,1,717.559997558594
"597","RSZ3004                  ",2018,1,1435.11999511719
"598","RC056125                 ",2018,1,318
"599","PN8529H                  ",2018,1,356.959991455078
"600","PN8506H                  ",2018,1,2274
"601","PN2925SG                 ",2018,1,651.890014648438
"602","PN120                    ",2018,1,1040.63999938965
